FK_municipio,df_ref,FK_instr_gestao,ini_vigencia,fim_vigencia,doc_anexado
4,2020-07-01,4,2020-07-03,2020-09-28,True
4,2020-07-01,5,2020-07-03,2020-09-24,True
4,2020-01-01,0,2020-01-03,2020-04-18,False
4,2020-01-01,1,2020-01-03,2020-04-12,False
5,2021-07-01,0,2021-07-07,2021-09-29,False
5,2021-07-01,1,2021-07-03,2021-10-08,False
5,2021-01-01,0,2021-01-05,2021-03-29,True
5,2021-01-01,1,2021-01-04,2021-03-27,False
5,2021-01-01,2,2021-01-06,2021-04-10,False
5,2021-01-01,3,2021-01-03,2021-03-31,True
5,2021-01-01,4,2021-01-07,2021-04-02,False
5,2020-07-01,0,2020-07-04,2020-10-19,False
5,2020-07-01,1,2020-07-06,2020-10-11,True
5,2020-07-01,2,2020-07-02,2020-10-20,True
5,2020-07-01,3,2020-07-07,2020-10-03,True
5,2020-07-01,4,2020-07-02,2020-10-04,True
5,2020-07-01,5,2020-07-04,2020-09-24,False
6,2021-07-01,0,2021-07-03,2021-10-20,False
6,2021-07-01,1,2021-07-02,2021-09-30,True
6,2021-07-01,2,2021-07-02,2021-10-01,False
6,2021-07-01,3,2021-07-07,2021-09-29,False
6,2021-07-01,4,2021-07-03,2021-10-19,True
6,2021-07-01,5,2021-07-06,2021-10-10,True
6,2021-01-01,0,2021-01-02,2021-04-10,False
6,2021-01-01,1,2021-01-07,2021-04-01,True
6,2021-01-01,2,2021-01-04,2021-04-07,True
6,2020-07-01,0,2020-07-02,2020-10-12,False
6,2020-07-01,1,2020-07-07,2020-09-26,False
6,2020-07-01,2,2020-07-06,2020-10-02,True
6,2020-07-01,3,2020-07-02,2020-10-12,True
6,2020-07-01,4,2020-07-02,2020-09-29,True
6,2020-07-01,5,2020-07-06,2020-10-14,False
6,2020-01-01,0,2020-01-06,2020-03-31,False
7,2021-07-01,0,2021-07-02,2021-09-27,True
7,2021-07-01,1,2021-07-07,2021-09-27,False
7,2021-07-01,2,2021-07-06,2021-09-27,False
7,2021-01-01,0,2021-01-02,2021-04-04,False
7,2021-01-01,1,2021-01-03,2021-04-09,False
7,2021-01-01,2,2021-01-06,2021-04-10,True
7,2021-01-01,3,2021-01-05,2021-03-27,True
7,2021-01-01,4,2021-01-03,2021-04-01,True
7,2021-01-01,5,2021-01-04,2021-04-05,False
7,2020-07-01,0,2020-07-03,2020-09-30,False
7,2020-07-01,1,2020-07-05,2020-09-23,False
7,2020-07-01,2,2020-07-05,2020-10-04,False
7,2020-07-01,3,2020-07-07,2020-10-14,False
7,2020-07-01,4,2020-07-07,2020-09-28,False
7,2020-01-01,0,2020-01-02,2020-04-10,True
7,2020-01-01,1,2020-01-03,2020-03-30,False
7,2020-01-01,2,2020-01-02,2020-04-11,True
7,2020-01-01,3,2020-01-07,2020-04-25,True
7,2020-01-01,4,2020-01-07,2020-04-26,False
7,2020-01-01,5,2020-01-03,2020-04-06,False
8,2021-01-01,0,2021-01-04,2021-04-14,False
8,2021-01-01,1,2021-01-03,2021-04-08,True
8,2021-01-01,2,2021-01-02,2021-04-16,False
8,2020-07-01,0,2020-07-05,2020-10-11,False
8,2020-07-01,1,2020-07-04,2020-09-22,True
8,2020-07-01,2,2020-07-05,2020-10-23,False
8,2020-07-01,3,2020-07-05,2020-10-11,False
8,2020-07-01,4,2020-07-05,2020-10-23,False
8,2020-07-01,5,2020-07-05,2020-10-05,False
8,2020-01-01,0,2020-01-05,2020-04-16,True
8,2020-01-01,1,2020-01-02,2020-03-29,False
9,2021-07-01,0,2021-07-07,2021-10-03,True
9,2021-07-01,1,2021-07-03,2021-10-05,True
9,2021-01-01,0,2021-01-02,2021-03-29,False
9,2021-01-01,1,2021-01-02,2021-04-18,False
9,2021-01-01,2,2021-01-06,2021-04-08,True
9,2021-01-01,3,2021-01-06,2021-04-08,True
9,2020-07-01,0,2020-07-07,2020-10-22,False
9,2020-07-01,1,2020-07-07,2020-10-11,True
9,2020-07-01,2,2020-07-04,2020-10-14,False
9,2020-07-01,3,2020-07-05,2020-10-20,False
9,2020-07-01,4,2020-07-02,2020-09-22,True
9,2020-01-01,0,2020-01-07,2020-03-30,False
9,2020-01-01,1,2020-01-06,2020-04-21,True
9,2020-01-01,2,2020-01-05,2020-04-24,True
10,2021-07-01,0,2021-07-04,2021-10-18,False
10,2021-07-01,1,2021-07-02,2021-10-09,False
10,2021-07-01,2,2021-07-06,2021-10-01,False
10,2021-07-01,3,2021-07-07,2021-10-24,True
10,2021-07-01,4,2021-07-04,2021-10-07,False
10,2020-07-01,0,2020-07-04,2020-09-23,False
10,2020-07-01,1,2020-07-02,2020-10-10,False
10,2020-07-01,2,2020-07-04,2020-09-30,True
10,2020-01-01,0,2020-01-04,2020-04-04,False
10,2020-01-01,1,2020-01-07,2020-04-16,False
10,2020-01-01,2,2020-01-06,2020-04-01,False
10,2020-01-01,3,2020-01-04,2020-04-11,False
11,2021-07-01,0,2021-07-03,2021-10-17,False
11,2021-01-01,0,2021-01-06,2021-03-29,False
11,2021-01-01,1,2021-01-03,2021-04-02,False
11,2021-01-01,2,2021-01-05,2021-04-02,False
11,2020-07-01,0,2020-07-05,2020-10-05,False
11,2020-07-01,1,2020-07-07,2020-10-05,False
11,2020-01-01,0,2020-01-05,2020-04-08,True
11,2020-01-01,1,2020-01-06,2020-04-07,False
12,2021-07-01,0,2021-07-04,2021-10-04,False
12,2021-07-01,1,2021-07-02,2021-10-12,True
12,2021-07-01,2,2021-07-02,2021-10-05,False
12,2021-07-01,3,2021-07-04,2021-10-10,True
12,2021-07-01,4,2021-07-06,2021-10-01,False
12,2021-01-01,0,2021-01-02,2021-04-13,False
12,2021-01-01,1,2021-01-05,2021-04-20,False
12,2021-01-01,2,2021-01-06,2021-04-08,False
12,2021-01-01,3,2021-01-07,2021-04-07,True
12,2021-01-01,4,2021-01-06,2021-04-08,False
12,2021-01-01,5,2021-01-05,2021-04-07,True
12,2020-07-01,0,2020-07-07,2020-10-09,True
12,2020-07-01,1,2020-07-04,2020-09-30,False
12,2020-01-01,0,2020-01-05,2020-04-16,False
12,2020-01-01,1,2020-01-02,2020-03-26,False
12,2020-01-01,2,2020-01-04,2020-03-26,False
12,2020-01-01,3,2020-01-02,2020-03-27,True
13,2021-07-01,0,2021-07-05,2021-10-15,True
13,2021-07-01,1,2021-07-05,2021-10-03,False
13,2021-07-01,2,2021-07-03,2021-10-05,False
13,2021-07-01,3,2021-07-07,2021-10-08,True
13,2021-07-01,4,2021-07-02,2021-10-05,True
13,2021-07-01,5,2021-07-05,2021-09-23,False
13,2021-01-01,0,2021-01-03,2021-03-28,False
13,2021-01-01,1,2021-01-04,2021-03-26,False
13,2020-07-01,0,2020-07-03,2020-10-09,True
13,2020-07-01,1,2020-07-05,2020-09-23,False
13,2020-07-01,2,2020-07-03,2020-09-23,True
13,2020-07-01,3,2020-07-02,2020-10-07,False
13,2020-01-01,0,2020-01-05,2020-04-07,False
13,2020-01-01,1,2020-01-05,2020-04-17,True
13,2020-01-01,2,2020-01-07,2020-04-09,False
14,2021-07-01,0,2021-07-02,2021-09-26,False
14,2021-07-01,1,2021-07-02,2021-10-07,False
14,2021-07-01,2,2021-07-06,2021-10-22,False
14,2021-07-01,3,2021-07-04,2021-10-16,True
14,2021-07-01,4,2021-07-03,2021-10-17,True
14,2021-07-01,5,2021-07-05,2021-10-21,False
14,2021-01-01,0,2021-01-04,2021-03-30,True
14,2021-01-01,1,2021-01-06,2021-04-11,False
14,2020-07-01,0,2020-07-06,2020-10-15,True
14,2020-01-01,0,2020-01-04,2020-04-12,True
14,2020-01-01,1,2020-01-02,2020-04-05,False
14,2020-01-01,2,2020-01-05,2020-03-29,True
14,2020-01-01,3,2020-01-05,2020-04-22,False
15,2021-07-01,0,2021-07-05,2021-10-23,False
15,2021-01-01,0,2021-01-05,2021-04-07,False
15,2021-01-01,1,2021-01-04,2021-04-13,True
15,2021-01-01,2,2021-01-05,2021-03-26,True
15,2021-01-01,3,2021-01-03,2021-04-16,False
15,2021-01-01,4,2021-01-04,2021-04-21,True
15,2020-07-01,0,2020-07-07,2020-10-13,False
15,2020-07-01,1,2020-07-02,2020-10-02,False
15,2020-07-01,2,2020-07-07,2020-10-14,False
15,2020-07-01,3,2020-07-06,2020-10-18,False
15,2020-01-01,0,2020-01-07,2020-04-12,False
16,2021-07-01,0,2021-07-04,2021-09-23,False
16,2021-07-01,1,2021-07-02,2021-10-13,False
16,2021-01-01,0,2021-01-07,2021-04-21,True
16,2020-07-01,0,2020-07-02,2020-09-23,False
16,2020-07-01,1,2020-07-04,2020-10-04,False
16,2020-01-01,0,2020-01-05,2020-04-19,False
16,2020-01-01,1,2020-01-04,2020-03-25,False
16,2020-01-01,2,2020-01-06,2020-03-30,False
16,2020-01-01,3,2020-01-06,2020-04-24,False
16,2020-01-01,4,2020-01-02,2020-04-08,False
16,2020-01-01,5,2020-01-03,2020-04-09,False
17,2021-07-01,0,2021-07-04,2021-10-06,False
17,2021-07-01,1,2021-07-05,2021-10-12,False
17,2020-07-01,0,2020-07-05,2020-10-23,False
17,2020-07-01,1,2020-07-05,2020-10-02,False
17,2020-07-01,2,2020-07-06,2020-10-23,False
17,2020-07-01,3,2020-07-07,2020-10-20,True
17,2020-07-01,4,2020-07-07,2020-10-06,False
17,2020-01-01,0,2020-01-04,2020-03-25,False
17,2020-01-01,1,2020-01-06,2020-04-15,True
18,2021-07-01,0,2021-07-03,2021-10-09,False
18,2021-07-01,1,2021-07-03,2021-10-02,True
18,2021-01-01,0,2021-01-07,2021-03-29,False
18,2021-01-01,1,2021-01-06,2021-04-02,False
18,2021-01-01,2,2021-01-04,2021-03-31,False
18,2021-01-01,3,2021-01-06,2021-03-29,False
18,2020-07-01,0,2020-07-07,2020-10-14,True
19,2021-07-01,0,2021-07-07,2021-10-22,True
19,2021-07-01,1,2021-07-02,2021-10-20,False
19,2021-07-01,2,2021-07-06,2021-10-04,True
19,2021-07-01,3,2021-07-05,2021-09-28,False
19,2021-01-01,0,2021-01-02,2021-04-07,False
19,2021-01-01,1,2021-01-06,2021-04-19,True
19,2021-01-01,2,2021-01-04,2021-04-01,True
19,2021-01-01,3,2021-01-06,2021-04-17,False
19,2021-01-01,4,2021-01-06,2021-04-05,False
19,2020-07-01,0,2020-07-04,2020-10-18,False
19,2020-07-01,1,2020-07-05,2020-09-23,False
19,2020-01-01,0,2020-01-06,2020-04-10,True
19,2020-01-01,1,2020-01-05,2020-03-27,True
19,2020-01-01,2,2020-01-03,2020-04-16,False
19,2020-01-01,3,2020-01-03,2020-04-10,False
19,2020-01-01,4,2020-01-07,2020-04-16,True
19,2020-01-01,5,2020-01-02,2020-04-20,False
20,2021-01-01,0,2021-01-04,2021-04-01,True
20,2021-01-01,1,2021-01-07,2021-03-30,False
20,2021-01-01,2,2021-01-07,2021-04-26,False
20,2021-01-01,3,2021-01-07,2021-04-07,False
20,2020-07-01,0,2020-07-06,2020-09-29,True
20,2020-07-01,1,2020-07-06,2020-09-27,True
20,2020-07-01,2,2020-07-03,2020-10-10,True
20,2020-07-01,3,2020-07-06,2020-10-01,True
20,2020-07-01,4,2020-07-05,2020-10-08,True
20,2020-07-01,5,2020-07-05,2020-10-21,True
20,2020-01-01,0,2020-01-06,2020-04-05,False
20,2020-01-01,1,2020-01-07,2020-04-07,True
21,2021-07-01,0,2021-07-07,2021-09-27,False
21,2021-07-01,1,2021-07-03,2021-09-23,False
21,2021-07-01,2,2021-07-07,2021-10-12,False
21,2021-01-01,0,2021-01-02,2021-04-14,True
21,2021-01-01,1,2021-01-04,2021-04-20,True
21,2021-01-01,2,2021-01-05,2021-04-08,False
21,2021-01-01,3,2021-01-06,2021-04-20,False
21,2021-01-01,4,2021-01-02,2021-03-27,False
21,2021-01-01,5,2021-01-03,2021-04-17,False
21,2020-07-01,0,2020-07-04,2020-10-14,False
21,2020-07-01,1,2020-07-02,2020-10-09,False
21,2020-01-01,0,2020-01-07,2020-04-15,True
22,2021-07-01,0,2021-07-02,2021-09-30,False
22,2021-01-01,0,2021-01-06,2021-03-29,False
22,2021-01-01,1,2021-01-05,2021-03-29,True
22,2021-01-01,2,2021-01-04,2021-03-29,True
22,2020-01-01,0,2020-01-07,2020-04-07,False
22,2020-01-01,1,2020-01-04,2020-04-17,False
22,2020-01-01,2,2020-01-03,2020-04-08,False
23,2021-07-01,0,2021-07-02,2021-10-11,False
23,2021-07-01,1,2021-07-03,2021-10-12,True
23,2021-07-01,2,2021-07-05,2021-10-03,False
23,2021-07-01,3,2021-07-06,2021-10-20,True
23,2021-07-01,4,2021-07-02,2021-10-19,False
23,2021-01-01,0,2021-01-05,2021-04-09,False
23,2021-01-01,1,2021-01-03,2021-04-18,False
23,2021-01-01,2,2021-01-03,2021-04-01,False
23,2021-01-01,3,2021-01-02,2021-04-10,False
23,2021-01-01,4,2021-01-02,2021-04-13,True
23,2020-07-01,0,2020-07-07,2020-10-11,False
23,2020-07-01,1,2020-07-02,2020-10-16,False
23,2020-07-01,2,2020-07-06,2020-10-10,False
23,2020-07-01,3,2020-07-05,2020-10-20,True
23,2020-01-01,0,2020-01-05,2020-03-27,False
23,2020-01-01,1,2020-01-03,2020-04-11,True
23,2020-01-01,2,2020-01-07,2020-04-09,False
23,2020-01-01,3,2020-01-07,2020-03-28,False
23,2020-01-01,4,2020-01-05,2020-03-25,False
24,2021-07-01,0,2021-07-05,2021-10-16,False
24,2021-01-01,0,2021-01-06,2021-04-21,True
24,2021-01-01,1,2021-01-02,2021-03-31,True
24,2021-01-01,2,2021-01-06,2021-03-28,True
24,2020-07-01,0,2020-07-02,2020-10-03,False
24,2020-07-01,1,2020-07-06,2020-10-16,False
24,2020-01-01,0,2020-01-03,2020-04-05,True
24,2020-01-01,1,2020-01-02,2020-04-21,False
24,2020-01-01,2,2020-01-06,2020-04-06,True
24,2020-01-01,3,2020-01-07,2020-04-10,False
24,2020-01-01,4,2020-01-06,2020-04-13,False
25,2021-07-01,0,2021-07-02,2021-09-20,False
25,2021-07-01,1,2021-07-07,2021-10-04,False
25,2021-07-01,2,2021-07-05,2021-10-03,False
25,2021-07-01,3,2021-07-07,2021-10-24,False
25,2021-01-01,0,2021-01-04,2021-03-31,False
25,2021-01-01,1,2021-01-06,2021-03-27,False
25,2021-01-01,2,2021-01-02,2021-04-06,False
25,2021-01-01,3,2021-01-07,2021-04-09,False
25,2021-01-01,4,2021-01-07,2021-04-14,False
25,2020-07-01,0,2020-07-06,2020-10-14,True
26,2021-07-01,0,2021-07-03,2021-10-14,True
26,2021-07-01,1,2021-07-07,2021-10-13,False
26,2021-07-01,2,2021-07-02,2021-10-19,False
26,2021-07-01,3,2021-07-06,2021-10-18,False
26,2021-07-01,4,2021-07-07,2021-10-19,True
26,2021-07-01,5,2021-07-03,2021-09-30,False
26,2020-07-01,0,2020-07-07,2020-10-03,True
26,2020-07-01,1,2020-07-02,2020-09-30,False
26,2020-01-01,0,2020-01-02,2020-03-22,False
26,2020-01-01,1,2020-01-02,2020-04-05,False
26,2020-01-01,2,2020-01-02,2020-03-31,False
26,2020-01-01,3,2020-01-04,2020-04-22,False
26,2020-01-01,4,2020-01-03,2020-04-02,False
26,2020-01-01,5,2020-01-07,2020-04-01,False
27,2021-07-01,0,2021-07-07,2021-10-14,False
27,2021-07-01,1,2021-07-04,2021-10-04,False
27,2021-07-01,2,2021-07-03,2021-10-13,False
27,2021-01-01,0,2021-01-04,2021-03-27,True
27,2021-01-01,1,2021-01-06,2021-04-26,False
27,2021-01-01,2,2021-01-06,2021-04-22,False
27,2021-01-01,3,2021-01-06,2021-04-07,False
27,2021-01-01,4,2021-01-05,2021-04-10,False
27,2020-07-01,0,2020-07-06,2020-10-08,False
27,2020-07-01,1,2020-07-05,2020-09-23,False
27,2020-01-01,0,2020-01-05,2020-03-29,False
27,2020-01-01,1,2020-01-07,2020-04-26,False
28,2021-07-01,0,2021-07-06,2021-10-05,False
28,2021-07-01,1,2021-07-07,2021-10-03,False
28,2021-07-01,2,2021-07-06,2021-10-01,True
28,2020-07-01,0,2020-07-02,2020-09-26,False
28,2020-07-01,1,2020-07-05,2020-10-02,False
28,2020-07-01,2,2020-07-06,2020-10-21,False
28,2020-07-01,3,2020-07-05,2020-10-07,False
28,2020-07-01,4,2020-07-02,2020-10-14,True
28,2020-01-01,0,2020-01-06,2020-04-11,False
28,2020-01-01,1,2020-01-05,2020-04-05,False
28,2020-01-01,2,2020-01-07,2020-04-07,True
29,2021-07-01,0,2021-07-02,2021-10-05,False
29,2021-07-01,1,2021-07-04,2021-10-16,False
29,2021-07-01,2,2021-07-06,2021-10-07,False
29,2021-07-01,3,2021-07-06,2021-10-07,True
29,2021-07-01,4,2021-07-03,2021-10-13,False
29,2021-01-01,0,2021-01-05,2021-03-26,True
29,2021-01-01,1,2021-01-02,2021-03-24,True
29,2021-01-01,2,2021-01-03,2021-03-26,True
29,2021-01-01,3,2021-01-02,2021-04-18,False
29,2021-01-01,4,2021-01-02,2021-04-12,False
29,2020-07-01,0,2020-07-03,2020-10-17,False
29,2020-01-01,0,2020-01-03,2020-04-01,False
29,2020-01-01,1,2020-01-06,2020-03-31,False
29,2020-01-01,2,2020-01-04,2020-04-16,False
29,2020-01-01,3,2020-01-06,2020-04-07,False
30,2021-07-01,0,2021-07-02,2021-09-28,False
30,2021-07-01,1,2021-07-04,2021-09-30,True
30,2021-07-01,2,2021-07-05,2021-09-28,False
30,2021-07-01,3,2021-07-07,2021-10-10,False
30,2021-07-01,4,2021-07-07,2021-10-09,False
30,2020-07-01,0,2020-07-03,2020-10-02,False
30,2020-07-01,1,2020-07-05,2020-09-26,False
30,2020-01-01,0,2020-01-04,2020-04-20,False
30,2020-01-01,1,2020-01-04,2020-04-22,False
30,2020-01-01,2,2020-01-05,2020-03-25,False
30,2020-01-01,3,2020-01-07,2020-04-13,False
30,2020-01-01,4,2020-01-02,2020-04-16,False
31,2021-07-01,0,2021-07-05,2021-10-09,False
31,2021-07-01,1,2021-07-05,2021-10-18,True
31,2021-07-01,2,2021-07-06,2021-10-04,False
31,2021-07-01,3,2021-07-02,2021-10-13,True
31,2021-01-01,0,2021-01-03,2021-04-16,True
31,2021-01-01,1,2021-01-04,2021-03-27,False
31,2021-01-01,2,2021-01-02,2021-04-17,False
31,2021-01-01,3,2021-01-02,2021-04-21,False
31,2021-01-01,4,2021-01-02,2021-04-06,False
31,2020-07-01,0,2020-07-04,2020-10-07,False
31,2020-07-01,1,2020-07-05,2020-10-09,False
31,2020-07-01,2,2020-07-02,2020-09-30,False
31,2020-07-01,3,2020-07-04,2020-10-09,False
31,2020-07-01,4,2020-07-04,2020-10-03,False
32,2021-07-01,0,2021-07-04,2021-09-29,True
32,2021-07-01,1,2021-07-07,2021-10-18,False
32,2021-07-01,2,2021-07-04,2021-10-15,True
32,2021-07-01,3,2021-07-07,2021-10-10,True
32,2020-07-01,0,2020-07-07,2020-10-07,False
32,2020-07-01,1,2020-07-04,2020-09-27,True
32,2020-01-01,0,2020-01-05,2020-04-12,True
32,2020-01-01,1,2020-01-05,2020-03-31,True
32,2020-01-01,2,2020-01-07,2020-04-04,True
33,2021-07-01,0,2021-07-02,2021-09-26,False
33,2021-07-01,1,2021-07-02,2021-10-12,False
33,2020-07-01,0,2020-07-02,2020-10-16,False
33,2020-07-01,1,2020-07-03,2020-10-13,False
33,2020-07-01,2,2020-07-06,2020-10-04,False
33,2020-07-01,3,2020-07-05,2020-10-06,False
33,2020-07-01,4,2020-07-06,2020-10-23,False
33,2020-07-01,5,2020-07-02,2020-09-30,True
33,2020-01-01,0,2020-01-04,2020-04-07,False
33,2020-01-01,1,2020-01-04,2020-03-29,False
33,2020-01-01,2,2020-01-07,2020-03-30,False
33,2020-01-01,3,2020-01-05,2020-04-11,False
34,2021-07-01,0,2021-07-02,2021-09-21,False
34,2021-07-01,1,2021-07-02,2021-10-06,True
34,2021-07-01,2,2021-07-06,2021-10-07,True
34,2021-07-01,3,2021-07-04,2021-10-01,True
34,2021-07-01,4,2021-07-05,2021-10-12,True
34,2021-01-01,0,2021-01-03,2021-04-21,False
34,2020-07-01,0,2020-07-07,2020-10-21,True
34,2020-07-01,1,2020-07-05,2020-10-02,True
34,2020-01-01,0,2020-01-02,2020-04-18,True
34,2020-01-01,1,2020-01-07,2020-03-29,False
34,2020-01-01,2,2020-01-07,2020-04-18,False
34,2020-01-01,3,2020-01-02,2020-03-27,True
34,2020-01-01,4,2020-01-03,2020-04-21,False
34,2020-01-01,5,2020-01-02,2020-04-18,True
35,2021-07-01,0,2021-07-04,2021-09-28,False
35,2021-07-01,1,2021-07-02,2021-09-26,False
35,2021-01-01,0,2021-01-04,2021-04-04,False
35,2021-01-01,1,2021-01-03,2021-04-04,True
35,2021-01-01,2,2021-01-05,2021-04-15,False
35,2021-01-01,3,2021-01-07,2021-04-03,True
35,2020-01-01,0,2020-01-04,2020-03-29,False
35,2020-01-01,1,2020-01-06,2020-04-22,False
36,2021-07-01,0,2021-07-02,2021-10-09,False
36,2021-01-01,0,2021-01-04,2021-04-10,False
36,2021-01-01,1,2021-01-02,2021-04-22,False
36,2021-01-01,2,2021-01-03,2021-04-12,False
36,2020-07-01,0,2020-07-04,2020-10-12,False
36,2020-07-01,1,2020-07-07,2020-10-14,False
36,2020-07-01,2,2020-07-07,2020-10-08,True
36,2020-01-01,0,2020-01-03,2020-03-28,False
36,2020-01-01,1,2020-01-07,2020-03-30,False
36,2020-01-01,2,2020-01-02,2020-04-17,False
36,2020-01-01,3,2020-01-02,2020-04-13,False
36,2020-01-01,4,2020-01-03,2020-04-12,False
36,2020-01-01,5,2020-01-02,2020-04-09,True
37,2021-07-01,0,2021-07-03,2021-10-08,True
37,2021-07-01,1,2021-07-03,2021-10-15,False
37,2021-07-01,2,2021-07-03,2021-10-05,False
37,2021-07-01,3,2021-07-05,2021-10-06,False
37,2021-07-01,4,2021-07-02,2021-10-13,False
37,2021-01-01,0,2021-01-04,2021-04-11,False
37,2021-01-01,1,2021-01-05,2021-03-31,False
37,2021-01-01,2,2021-01-07,2021-04-24,False
37,2021-01-01,3,2021-01-07,2021-04-23,True
37,2021-01-01,4,2021-01-06,2021-04-07,False
37,2020-07-01,0,2020-07-03,2020-10-09,False
37,2020-07-01,1,2020-07-03,2020-09-27,False
37,2020-01-01,0,2020-01-05,2020-04-23,True
37,2020-01-01,1,2020-01-04,2020-04-08,False
37,2020-01-01,2,2020-01-06,2020-04-01,False
37,2020-01-01,3,2020-01-06,2020-04-23,True
37,2020-01-01,4,2020-01-02,2020-03-30,False
37,2020-01-01,5,2020-01-04,2020-04-10,True
38,2021-07-01,0,2021-07-07,2021-10-03,False
38,2021-07-01,1,2021-07-04,2021-10-18,True
38,2021-07-01,2,2021-07-03,2021-10-09,True
38,2021-01-01,0,2021-01-06,2021-04-19,False
38,2021-01-01,1,2021-01-03,2021-04-16,False
38,2021-01-01,2,2021-01-07,2021-04-26,False
38,2020-01-01,0,2020-01-03,2020-03-31,False
38,2020-01-01,1,2020-01-07,2020-04-19,True
39,2021-07-01,0,2021-07-03,2021-10-13,False
39,2021-01-01,0,2021-01-03,2021-04-09,True
39,2021-01-01,1,2021-01-05,2021-04-06,False
39,2021-01-01,2,2021-01-04,2021-03-29,False
39,2020-07-01,0,2020-07-03,2020-09-28,False
39,2020-07-01,1,2020-07-03,2020-09-25,False
39,2020-01-01,0,2020-01-03,2020-03-23,False
39,2020-01-01,1,2020-01-07,2020-04-04,False
39,2020-01-01,2,2020-01-07,2020-04-05,True
40,2021-07-01,0,2021-07-06,2021-10-11,False
40,2021-01-01,0,2021-01-07,2021-04-23,False
40,2021-01-01,1,2021-01-04,2021-04-17,True
40,2020-07-01,0,2020-07-07,2020-09-27,False
40,2020-07-01,1,2020-07-02,2020-09-27,False
40,2020-07-01,2,2020-07-02,2020-10-09,True
40,2020-07-01,3,2020-07-03,2020-10-18,False
40,2020-07-01,4,2020-07-04,2020-09-26,True
40,2020-01-01,0,2020-01-06,2020-03-27,True
40,2020-01-01,1,2020-01-03,2020-03-29,False
40,2020-01-01,2,2020-01-03,2020-04-16,False
41,2021-07-01,0,2021-07-07,2021-10-01,False
41,2021-07-01,1,2021-07-06,2021-10-06,True
41,2021-01-01,0,2021-01-04,2021-04-02,True
41,2021-01-01,1,2021-01-02,2021-03-23,False
41,2020-07-01,0,2020-07-05,2020-10-20,True
41,2020-07-01,1,2020-07-02,2020-10-17,False
